Symbol;Security;GICS Sector;GICS Sub-Industry;Headquarters Location;Date added;CIK;Founded
A;Agilent Technologies;Health Care;Life Sciences Tools & Services;Santa Clara, California;2000-06-05;1090872;1999
AAPL;Apple Inc.;Information Technology;Technology Hardware, Storage & Peripherals;Cupertino, California;1982-11-30;320193;1977
ABBV;AbbVie;Health Care;Biotechnology;North Chicago, Illinois;2012-12-31;1551152;2013 (1888)
ABNB;Airbnb;Consumer Discretionary;Hotels, Resorts & Cruise Lines;San Francisco, California;2023-09-18;1559720;2008
ABT;Abbott Laboratories;Health Care;Health Care Equipment;North Chicago, Illinois;1957-03-04;1800;1888
ACGL;Arch Capital Group;Financials;Property & Casualty Insurance;Hamilton, Bermuda;2022-11-01;947484;1995
ACN;Accenture;Information Technology;IT Consulting & Other Services;Dublin, Ireland;2011-07-06;1467373;1989
ADBE;Adobe Inc.;Information Technology;Application Software;San Jose, California;1997-05-05;796343;1982
ADI;Analog Devices;Information Technology;Semiconductors;Wilmington, Massachusetts;1999-10-12;6281;1965
ADM;Archer Daniels Midland;Consumer Staples;Agricultural Products & Services;Chicago, Illinois;1957-03-04;7084;1902
ADP;Automatic Data Processing;Industrials;Human Resource & Employment Services;Roseland, New Jersey;1981-03-31;8670;1949
ADSK;Autodesk;Information Technology;Application Software;San Francisco, California;1989-12-01;769397;1982
AEE;Ameren;Utilities;Multi-Utilities;St. Louis, Missouri;1991-09-19;1002910;1902
AEP;American Electric Power;Utilities;Electric Utilities;Columbus, Ohio;1957-03-04;4904;1906
AES;AES Corporation;Utilities;Independent Power Producers & Energy Traders;Arlington, Virginia;1998-10-02;874761;1981
AFL;Aflac;Financials;Life & Health Insurance;Columbus, Georgia;1999-05-28;4977;1955
AIG;American International Group;Financials;Multi-line Insurance;New York City, New York;1980-03-31;5272;1919
AIZ;Assurant;Financials;Multi-line Insurance;Atlanta, Georgia;2007-04-10;1267238;1892
AJG;Arthur J. Gallagher & Co.;Financials;Insurance Brokers;Rolling Meadows, Illinois;2016-05-31;354190;1927
AKAM;Akamai Technologies;Information Technology;Internet Services & Infrastructure;Cambridge, Massachusetts;2007-07-12;1086222;1998
ALB;Albemarle Corporation;Materials;Specialty Chemicals;Charlotte, North Carolina;2016-07-01;915913;1994
ALGN;Align Technology;Health Care;Health Care Supplies;Tempe, Arizona;2017-06-19;1097149;1997
ALL;Allstate;Financials;Property & Casualty Insurance;Northbrook, Illinois;1995-07-13;899051;1931
ALLE;Allegion;Industrials;Building Products;Dublin, Ireland;2013-12-02;1579241;1908
AMAT;Applied Materials;Information Technology;Semiconductor Materials & Equipment;Santa Clara, California;1995-03-16;6951;1967
AMCR;Amcor;Materials;Paper & Plastic Packaging Products & Materials;Warmley, Bristol, United Kingdom;2019-06-07;1748790;2019 (1860)
AMD;Advanced Micro Devices;Information Technology;Semiconductors;Santa Clara, California;2017-03-20;2488;1969
AME;Ametek;Industrials;Electrical Components & Equipment;Berwyn, Pennsylvania;2013-09-23;1037868;1930
AMGN;Amgen;Health Care;Biotechnology;Thousand Oaks, California;1992-01-02;318154;1980
AMP;Ameriprise Financial;Financials;Asset Management & Custody Banks;Minneapolis, Minnesota;2005-10-03;820027;1894
AMT;American Tower;Real Estate;Telecom Tower REITs;Boston, Massachusetts;2007-11-19;1053507;1995
AMZN;Amazon;Consumer Discretionary;Broadline Retail;Seattle, Washington;2005-11-18;1018724;1994
ANET;Arista Networks;Information Technology;Communications Equipment;Santa Clara, California;2018-08-28;1596532;2004
ANSS;Ansys;Information Technology;Application Software;Canonsburg, Pennsylvania;2017-06-19;1013462;1969
AON;Aon;Financials;Insurance Brokers;London, UK;1996-04-23;315293;1982 (1919)
AOS;A. O. Smith;Industrials;Building Products;Milwaukee, Wisconsin;2017-07-26;91142;1916
APA;APA Corporation;Energy;Oil & Gas Exploration & Production;Houston, Texas;1997-07-28;1841666;1954
APD;Air Products;Materials;Industrial Gases;Upper Macungie Township, Pennsylvania;1985-04-30;2969;1940
APH;Amphenol;Information Technology;Electronic Components;Wallingford, Connecticut;2008-09-30;820313;1932
APO;Apollo Global Management;Financials;Asset Management & Custody Banks;New York City, New York;2024-12-23;1858681;1990
APTV;Aptiv;Consumer Discretionary;Automotive Parts & Equipment;Dublin, Ireland;2012-12-24;1521332;1994
ARE;Alexandria Real Estate Equities;Real Estate;Office REITs;Pasadena, California;2017-03-20;1035443;1994
ATO;Atmos Energy;Utilities;Gas Utilities;Dallas, Texas;2019-02-15;731802;1906
AVB;AvalonBay Communities;Real Estate;Multi-Family Residential REITs;Arlington, Virginia;2007-01-10;915912;1978
AVGO;Broadcom;Information Technology;Semiconductors;Palo Alto, California;2014-05-08;1730168;1961
AVY;Avery Dennison;Materials;Paper & Plastic Packaging Products & Materials;Mentor, Ohio;1987-12-31;8818;1935
AWK;American Water Works;Utilities;Water Utilities;Camden, New Jersey;2016-03-04;1410636;1886
AXON;Axon Enterprise;Industrials;Aerospace & Defense;Scottsdale, Arizona;2023-05-04;1069183;1993
AXP;American Express;Financials;Consumer Finance;New York City, New York;1976-06-30;4962;1850
AZO;AutoZone;Consumer Discretionary;Automotive Retail;Memphis, Tennessee;1997-01-02;866787;1979
BA;Boeing;Industrials;Aerospace & Defense;Arlington, Virginia;1957-03-04;12927;1916
BAC;Bank of America;Financials;Diversified Banks;Charlotte, North Carolina;1976-06-30;70858;1998 (1923 / 1874)
BALL;Ball Corporation;Materials;Metal, Glass & Plastic Containers;Broomfield, Colorado;1984-10-31;9389;1880
BAX;Baxter International;Health Care;Health Care Equipment;Deerfield, Illinois;1972-09-30;10456;1931
BBY;Best Buy;Consumer Discretionary;Computer & Electronics Retail;Richfield, Minnesota;1999-06-29;764478;1966
BDX;Becton Dickinson;Health Care;Health Care Equipment;Franklin Lakes, New Jersey;1972-09-30;10795;1897
BEN;Franklin Resources;Financials;Asset Management & Custody Banks;San Mateo, California;1998-04-30;38777;1947
BF.B;Brownâ€“Forman;Consumer Staples;Distillers & Vintners;Louisville, Kentucky;1982-10-31;14693;1870
BG;Bunge Global;Consumer Staples;Agricultural Products & Services;Chesterfield, Missouri;2023-03-15;1996862;1818
BIIB;Biogen;Health Care;Biotechnology;Cambridge, Massachusetts;2003-11-13;875045;1978
BK;BNY Mellon;Financials;Asset Management & Custody Banks;New York City, New York;1995-03-31;1390777;1784
BKNG;Booking Holdings;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Norwalk, Connecticut;2009-11-06;1075531;1996
BKR;Baker Hughes;Energy;Oil & Gas Equipment & Services;Houston, Texas;2017-07-07;1701605;2017
BLDR;Builders FirstSource;Industrials;Building Products;Irving, Texas;2023-12-18;1316835;1998
BLK;BlackRock;Financials;Asset Management & Custody Banks;New York City, New York;2011-04-04;2012383;1988
BMY;Bristol Myers Squibb;Health Care;Pharmaceuticals;New York City, New York;1957-03-04;14272;1989 (1887)
BR;Broadridge Financial Solutions;Industrials;Data Processing & Outsourced Services;Lake Success, New York;2018-06-18;1383312;1962
BRK.B;Berkshire Hathaway;Financials;Multi-Sector Holdings;Omaha, Nebraska;2010-02-16;1067983;1839
BRO;Brown & Brown;Financials;Insurance Brokers;Daytona Beach, Florida;2021-09-20;79282;1939
BSX;Boston Scientific;Health Care;Health Care Equipment;Marlborough, Massachusetts;1995-02-24;885725;1979
BWA;BorgWarner;Consumer Discretionary;Automotive Parts & Equipment;Auburn Hills, Michigan;2011-12-19;908255;1880
BX;Blackstone Inc.;Financials;Asset Management & Custody Banks;New York City, New York;2023-09-18;1393818;1985
BXP;BXP, Inc.;Real Estate;Office REITs;Boston, Massachusetts;2006-04-03;1037540;1970
C;Citigroup;Financials;Diversified Banks;New York City, New York;1988-05-31;831001;1998
CAG;Conagra Brands;Consumer Staples;Packaged Foods & Meats;Chicago, Illinois;1983-08-31;23217;1919
CAH;Cardinal Health;Health Care;Health Care Distributors;Dublin, Ohio;1997-05-27;721371;1971
CARR;Carrier Global;Industrials;Building Products;Palm Beach Gardens, Florida;2020-04-03;1783180;2020 (1915, United Technologies spinoff)
CAT;Caterpillar Inc.;Industrials;Construction Machinery & Heavy Transportation Equipment;Irving, Texas;1957-03-04;18230;1925
CB;Chubb Limited;Financials;Property & Casualty Insurance;Zurich, Switzerland;2010-07-15;896159;1985
CBOE;Cboe Global Markets;Financials;Financial Exchanges & Data;Chicago, Illinois;2017-03-01;1374310;1973
CBRE;CBRE Group;Real Estate;Real Estate Services;Dallas, Texas;2006-11-10;1138118;1906
CCI;Crown Castle;Real Estate;Telecom Tower REITs;Houston, Texas;2012-03-14;1051470;1994
CCL;Carnival;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Miami, Florida;1998-12-22;815097;1972
CDNS;Cadence Design Systems;Information Technology;Application Software;San Jose, California;2017-09-18;813672;1988
CDW;CDW;Information Technology;Technology Distributors;Vernon Hills, Illinois;2019-09-23;1402057;1984
CE;Celanese;Materials;Specialty Chemicals;Irving, Texas;2018-12-24;1306830;1918
CEG;Constellation Energy;Utilities;Electric Utilities;Baltimore, Maryland;2022-02-02;1868275;1999
CF;CF Industries;Materials;Fertilizers & Agricultural Chemicals;Deerfield, Illinois;2008-08-27;1324404;1946
CFG;Citizens Financial Group;Financials;Regional Banks;Providence, Rhode Island;2016-01-29;759944;1828
CHD;Church & Dwight;Consumer Staples;Household Products;Ewing, New Jersey;2015-12-29;313927;1847
CHRW;C.H. Robinson;Industrials;Air Freight & Logistics;Eden Prairie, Minnesota;2007-03-02;1043277;1905
CHTR;Charter Communications;Communication Services;Cable & Satellite;Stamford, Connecticut;2016-09-08;1091667;1993
CI;Cigna;Health Care;Health Care Services;Bloomfield, Connecticut;1976-06-30;1739940;1982
CINF;Cincinnati Financial;Financials;Property & Casualty Insurance;Fairfield, Ohio;1997-12-18;20286;1950
CL;Colgate-Palmolive;Consumer Staples;Household Products;New York City, New York;1957-03-04;21665;1806
CLX;Clorox;Consumer Staples;Household Products;Oakland, California;1969-03-31;21076;1913
CMCSA;Comcast;Communication Services;Cable & Satellite;Philadelphia, Pennsylvania;2002-11-19;1166691;1963
CME;CME Group;Financials;Financial Exchanges & Data;Chicago, Illinois;2006-08-11;1156375;1848
CMG;Chipotle Mexican Grill;Consumer Discretionary;Restaurants;Newport Beach, California;2011-04-28;1058090;1993
CMI;Cummins;Industrials;Construction Machinery & Heavy Transportation Equipment;Columbus, Indiana;1965-03-31;26172;1919